id 11001
8 7,,,6,7,
16 ,6,,,7,,,,6,,7,,6,,7,,
48 6,,7,,6,,,,7,,6,,,,,,,,7,,,,,,6,,,,,,7,,,,,,6,,,,,,,,,7,,,
8 ,6,,7,6,7,6,
24 7,6,7,,6,7,
16 6,,,,,,7,,,,,,6,7,6,,7,,6,,7,,,6,7,6,,,7,,6,,7,,6,,7,6,7,6,7,6,7,6,7,6,7,6,
24 7,6,7,
16 6,7,6,7,6,7,6,7,6,7,6,7,
24 6,7,6,7,6,7,
16 6,,7,,,6,7,,6,,7,,
8 6,
48 7,6,,
8 7,
48 6,7,,
8 6,
48 7,6,,
8 7,
48 6,7,,
8 6,,
16 ,,7,,6,,,7,,,6,,,,7,,
24 6,,,7,,,6,,,7,6,7,,6,7,,,,6,,,7,,,
16 ,,6,7,6,,,,7,6,7,,,,6,7,6,,7,,6,7,6,,
24 7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,
16 7,6,7,6,7,6,7,6,7,,,,
4 ,,,6,,,,
225bpm
4 ,7,6,7,6,7,,6,7,6,7,6,7,
24 6,,,7,,,6,,,,,,7,,,,,,6,,,,7,,
12 ,6,,7,,,6,,,7,,,
8 6,,7,6,,7,6,,
12 ,,,7,,,6,,,7,,6,
24 ,,7,,,,6,,,,7,,,,6,,,,7,,,6,,,
8 7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,,,6,,,7,,,6,,,7,6,7,
24 6,7,6,
8 7,6,
24 7,6,7,6,7,6,
8 7,
24 6,7,6,
16 7,,6,,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,,6,,7,,6,,7,,6,,7,,6,,7,,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,
24 6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,
32 6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,,
4 ,
1 7,
8 ,,,,,,,
48 6,7,6,7,,,6,
